analysis_model_id,analysis_model_label,text_id,passage_id,condition,author_id,author_name,work_id,work_title,split,qc_status,qc_flags,word_count_feature,sentence_count_feature,paragraph_count_feature,mean_sentence_words,median_sentence_words,std_sentence_words,short_sentence_ratio,long_sentence_ratio,punctuation_per_1000w,comma_per_1000w,semicolon_per_1000w,colon_per_1000w,dash_per_1000w,question_per_1000w,exclamation_per_1000w,quote_mark_per_1000w,apostrophe_per_1000w,ellipsis_per_1000w,type_token_ratio,root_type_token_ratio,hapax_ratio,avg_word_length,long_word_ratio,short_word_ratio,contraction_per_1000w,archaic_marker_per_1000w,abstract_suffix_per_1000w,dialogue_marker_per_1000w,fw_the_per_1000w,fw_and_per_1000w,fw_of_per_1000w,fw_to_per_1000w,fw_a_per_1000w,fw_in_per_1000w,fw_that_per_1000w,fw_it_per_1000w,fw_is_per_1000w,fw_was_per_1000w,fw_i_per_1000w,fw_for_per_1000w,fw_with_per_1000w,fw_as_per_1000w,fw_his_per_1000w,fw_he_per_1000w,fw_be_per_1000w,fw_not_per_1000w,fw_by_per_1000w,fw_but_per_1000w,fw_had_per_1000w,fw_you_per_1000w,fw_at_per_1000w,fw_on_per_1000w,fw_her_per_1000w,fw_which_per_1000w,fw_have_per_1000w,fw_or_per_1000w,fw_from_per_1000w,fw_this_per_1000w,fw_my_per_1000w,fw_me_per_1000w,fw_all_per_1000w,fw_so_per_1000w,fw_were_per_1000w,fw_they_per_1000w,fw_him_per_1000w,fw_she_per_1000w,fw_there_per_1000w,fw_no_per_1000w,fw_one_per_1000w,fw_their_per_1000w,fw_we_per_1000w,fw_what_per_1000w,fw_if_per_1000w,fw_would_per_1000w,fw_when_per_1000w,fw_who_per_1000w,fw_will_per_1000w,fw_more_per_1000w,fw_an_per_1000w,fw_do_per_1000w,fw_are_per_1000w,fw_than_per_1000w,fw_could_per_1000w,fw_them_per_1000w,fw_been_per_1000w,char3__space_th,char3_the,char3_he_space_,char3__space_an,char3_nd_space_,char3_and,char3_ed_space_,char3__space_to,char3__space_of,char3_ing,char3_of_space_,char3_to_space_,char3__space_he,char3_ng_space_,char3__space_in,char3_at_space_,char3_er_space_,char3__space_ha,char3__space_i_space_,char3_as_space_,char3__space_a_space_,char3_her,char3_comma_space_a,char3__space_be,char3__space_wa,char3_d_space_t,char3_in_space_,char3_is_space_,char3_re_space_,char3_hat,char3_e_space_t,char3__space_co,char3__space_wh,char3_tha,char3__space_it,char3__space_hi,char3_you,char3_e_space_a,char3_e_space_w,char3_was,char3__space_yo,char3__space_no,char3_en_space_,char3_n_space_t,char3_on_space_,char3_e_space_s,char3__space_wi,char3_t_space_t,char3_ere,char3_ut_space_,char3_ecomma_space_,char3_it_space_,char3_his,char3_ver,char3_for,char3__space_sh,char3__space_fo,char3_or_space_,char3_ly_space_,char3_ent,char3_me_space_,char3__space_on,char3_e_space_o,char3__space_re,char3__space_we,char3__space_so,char3_ll_space_,char3__space_me,char3_t_space_i,char3_d_space_a,char3_thi,char3_ad_space_,char3_ld_space_,char3_s_space_a,char3_th_space_,char3_s_space_t,char3_all,char3__space_ma,char3_ion,char3_ve_space_,char3_e_space_h,char3_ith,char3__space_sa,char3_e_space_i,char3_an_space_,char3_ter,char3_st_space_,char3_ou_space_,char3_e_space_m,char3_f_space_t,char3_scomma_space_,char3_wit,char3_d_space_h,char3_not,char3__space_do,char3_had,char3__space_as,char3_oul,char3_ght,char3_t_space_a,char3__space_al,char3_es_space_,char3_ot_space_,char3_s_space_o,char3_uld,char3_le_space_,char3_t_space_w,char3__space_wo,char3_d_space_i,char3__space_mo,char3_e_space_c,char3_ch_space_,char3__space_my,char3_eve,char3_she,char3__space_se,char3_t_space_h,char3_hin,char3__space_bu,char3_t_space_o
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_001,AUSTEN_EMMA_001,original,austen,Jane Austen,emma,Emma,train,pass,,569,27,7,21.074074,11,20.938934,0.481481,0.148148,152.899824,66.783831,12.302285,1.757469,5.272408,3.514938,1.757469,8.787346,5.272408,0.0,0.523726,12.49281,0.374341,4.490334,0.126538,0.43761,5.272408,0.0,15.817223,8.787346,47.45167,33.391916,29.876977,22.8471,21.089631,19.332162,8.787346,5.272408,1.757469,14.059754,5.272408,5.272408,17.574692,10.544815,14.059754,5.272408,5.272408,12.302285,1.757469,7.029877,12.302285,12.302285,5.272408,5.272408,15.817223,8.787346,3.514938,1.757469,0.0,0.0,0.0,1.757469,10.544815,5.272408,3.514938,3.514938,5.272408,10.544815,0.0,1.757469,3.514938,7.029877,0.0,1.757469,0.0,7.029877,0.0,0.0,1.757469,1.757469,8.787346,5.272408,3.514938,1.757469,3.514938,1.757469,5.272408,16.583229,13.141427,11.26408,8.760951,8.135169,6.570713,6.257822,4.067584,5.944931,7.509387,5.319149,4.380476,5.006258,5.006258,5.944931,3.128911,5.63204,4.693367,0.938673,4.380476,3.441802,5.006258,2.503129,3.754693,4.380476,3.128911,4.380476,2.81602,2.81602,1.877347,2.503129,2.503129,2.81602,1.877347,1.251564,4.380476,2.81602,1.877347,1.564456,2.503129,2.81602,2.503129,2.503129,1.564456,3.128911,1.877347,3.754693,1.877347,1.564456,2.190238,1.564456,1.877347,2.503129,3.441802,2.503129,2.503129,1.877347,1.564456,1.564456,2.190238,1.564456,1.251564,0.938673,1.877347,2.190238,2.190238,3.441802,0.625782,0.625782,1.251564,2.190238,2.503129,1.877347,1.877347,4.067584,1.251564,4.067584,0.625782,2.81602,0.938673,2.503129,3.754693,1.564456,2.503129,1.877347,1.251564,0.312891,1.564456,1.877347,2.190238,3.441802,3.128911,2.503129,2.503129,1.251564,2.190238,1.877347,1.877347,1.251564,1.564456,2.81602,1.251564,2.190238,2.190238,1.877347,1.877347,0.625782,2.190238,0.312891,0.625782,1.877347,3.754693,0.0,2.503129,1.877347,2.190238,1.564456,2.190238,1.251564,1.877347
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_002,AUSTEN_EMMA_002,original,austen,Jane Austen,emma,Emma,train,pass,,562,41,9,13.707317,13,10.714121,0.365854,0.02439,218.86121,67.615658,12.455516,1.779359,14.234875,0.0,0.0,49.822064,7.117438,0.0,0.466192,11.051803,0.30427,4.197509,0.104982,0.462633,7.117438,0.0,23.131673,49.822064,24.911032,28.469751,16.014235,33.807829,24.911032,7.117438,10.676157,5.338078,5.338078,3.558719,42.704626,10.676157,7.117438,8.896797,1.779359,5.338078,10.676157,19.572954,1.779359,12.455516,8.896797,26.690391,7.117438,3.558719,16.014235,1.779359,17.793594,3.558719,7.117438,0.0,3.558719,5.338078,7.117438,5.338078,7.117438,0.0,3.558719,14.234875,5.338078,3.558719,0.0,0.0,3.558719,0.0,1.779359,3.558719,1.779359,1.779359,10.676157,0.0,1.779359,8.896797,3.558719,0.0,5.338078,0.0,5.338078,9.574117,7.263123,7.923407,7.923407,5.942555,5.612413,3.30142,6.272697,3.30142,7.593265,2.971278,6.272697,4.952129,5.942555,2.310994,3.30142,6.932981,7.593265,5.612413,2.641136,4.621987,6.602839,1.980852,4.291845,1.320568,1.320568,1.320568,1.320568,4.291845,2.641136,2.641136,2.641136,0.990426,2.971278,0.660284,0.990426,6.602839,1.980852,3.30142,0.660284,5.282271,4.952129,1.980852,1.65071,4.952129,1.65071,5.282271,1.320568,3.30142,2.971278,2.641136,2.310994,0.330142,4.952129,3.631562,3.30142,3.30142,2.971278,2.641136,2.310994,1.980852,1.65071,1.65071,3.631562,3.631562,2.641136,3.631562,1.980852,2.310994,1.65071,2.310994,1.980852,2.310994,0.330142,1.65071,1.65071,1.320568,3.631562,3.30142,3.30142,2.310994,2.310994,1.320568,0.990426,1.320568,1.320568,2.310994,4.621987,1.65071,0.990426,0.660284,1.320568,2.310994,4.621987,2.971278,1.65071,2.310994,2.310994,1.980852,0.990426,1.980852,0.0,3.30142,1.320568,2.310994,0.990426,0.660284,1.65071,1.320568,0.990426,0.330142,2.310994,0.660284,2.641136,3.30142,1.320568,1.980852,2.310994,1.320568,1.65071
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_003,AUSTEN_EMMA_003,original,austen,Jane Austen,emma,Emma,train,pass,,555,38,13,14.605263,11.5,12.436236,0.421053,0.078947,239.63964,79.279279,10.810811,1.801802,23.423423,14.414414,3.603604,55.855856,9.009009,0.0,0.410811,9.678061,0.261261,4.030631,0.084685,0.497297,1.801802,0.0,21.621622,55.855856,21.621622,10.810811,14.414414,46.846847,25.225225,9.009009,12.612613,16.216216,7.207207,5.405405,45.045045,5.405405,18.018018,19.81982,1.801802,1.801802,14.414414,25.225225,5.405405,9.009009,7.207207,48.648649,5.405405,0.0,3.603604,1.801802,9.009009,1.801802,0.0,5.405405,5.405405,10.810811,0.0,1.801802,3.603604,0.0,7.207207,9.009009,0.0,14.414414,1.801802,0.0,0.0,9.009009,10.810811,5.405405,0.0,0.0,5.405405,0.0,0.0,25.225225,5.405405,1.801802,0.0,0.0,5.405405,12.031626,5.500172,6.187693,4.125129,3.093847,2.750086,3.093847,9.28154,2.750086,5.156411,2.406325,8.937779,2.750086,3.781368,2.406325,4.81265,4.81265,7.906497,7.562736,4.81265,4.81265,1.718804,1.375043,6.187693,2.062564,2.062564,2.062564,2.406325,2.062564,4.125129,2.062564,2.406325,3.093847,2.750086,2.406325,1.718804,11.687865,1.718804,2.406325,1.031282,10.656583,6.875215,1.031282,1.375043,0.343761,2.062564,5.156411,3.781368,1.375043,2.750086,1.718804,2.406325,1.375043,1.718804,1.031282,3.437607,1.031282,1.375043,2.406325,1.718804,2.406325,0.687521,2.062564,3.093847,1.031282,1.031282,2.750086,3.781368,4.125129,1.031282,3.093847,1.718804,2.062564,1.718804,3.093847,2.062564,1.375043,2.062564,1.718804,3.093847,1.718804,4.46889,4.125129,0.0,2.750086,2.406325,3.093847,8.250258,2.406325,0.343761,0.687521,4.46889,0.687521,5.500172,6.187693,1.375043,3.437607,2.062564,3.781368,2.062564,0.343761,0.343761,4.125129,0.0,2.062564,2.062564,3.093847,2.406325,1.718804,1.031282,1.031282,1.031282,1.375043,1.031282,1.718804,0.687521,0.343761,2.406325,1.031282,0.0
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_004,AUSTEN_EMMA_004,original,austen,Jane Austen,emma,Emma,train,pass,,560,27,5,20.740741,20,13.571737,0.296296,0.111111,185.714286,83.928571,14.285714,0.0,7.142857,1.785714,1.785714,25.0,5.357143,0.0,0.480357,11.367325,0.3375,4.269643,0.116071,0.485714,5.357143,0.0,19.642857,25.0,16.071429,35.714286,25.0,37.5,23.214286,8.928571,12.5,8.928571,16.071429,8.928571,14.285714,12.5,7.142857,8.928571,7.142857,3.571429,25.0,14.285714,1.785714,12.5,1.785714,7.142857,10.714286,3.571429,28.571429,0.0,8.928571,5.357143,0.0,1.785714,3.571429,1.785714,1.785714,10.714286,1.785714,1.785714,12.5,30.357143,3.571429,5.357143,1.785714,0.0,3.571429,3.571429,3.571429,3.571429,1.785714,1.785714,8.928571,3.571429,0.0,3.571429,1.785714,3.571429,1.785714,1.785714,1.785714,9.195402,5.91133,8.866995,7.881773,8.866995,6.896552,2.955665,7.881773,5.254516,4.926108,4.597701,6.896552,6.239737,4.597701,3.284072,4.926108,7.881773,5.91133,2.298851,4.926108,4.269294,7.224959,4.597701,6.568144,2.298851,2.298851,1.642036,4.597701,2.298851,3.612479,2.955665,0.985222,2.627258,2.955665,1.970443,3.940887,1.642036,2.627258,1.970443,1.642036,1.642036,6.896552,2.627258,0.656814,0.985222,1.970443,3.612479,1.970443,1.970443,2.627258,3.940887,1.313629,1.642036,4.269294,3.612479,5.91133,2.955665,2.955665,1.970443,3.284072,0.985222,1.313629,0.985222,3.284072,0.985222,2.955665,2.627258,1.313629,2.955665,1.313629,2.298851,0.656814,1.313629,2.627258,2.298851,2.955665,0.985222,5.91133,0.985222,1.970443,2.627258,2.627258,1.642036,2.627258,1.970443,1.642036,2.955665,1.313629,1.970443,0.328407,0.328407,1.642036,2.627258,3.612479,0.985222,0.328407,2.298851,0.985222,2.955665,2.627258,1.313629,0.985222,2.298851,0.656814,0.985222,1.313629,0.985222,1.313629,0.985222,0.985222,0.985222,2.627258,1.313629,2.955665,5.582923,1.970443,1.642036,1.970443,2.298851,0.985222
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_005,AUSTEN_EMMA_005,original,austen,Jane Austen,emma,Emma,train,pass,,563,31,11,18.16129,16,10.785584,0.290323,0.032258,197.158082,58.614565,23.090586,0.0,12.433393,1.776199,3.552398,44.404973,8.880995,0.0,0.476021,11.294853,0.323268,4.181172,0.087034,0.458259,7.104796,0.0,10.657194,44.404973,42.628774,30.195382,26.642984,26.642984,15.98579,14.209591,7.104796,21.314387,14.209591,5.328597,10.657194,7.104796,14.209591,3.552398,15.98579,23.090586,8.880995,12.433393,1.776199,14.209591,5.328597,14.209591,5.328597,3.552398,3.552398,0.0,5.328597,3.552398,1.776199,1.776199,3.552398,3.552398,5.328597,12.433393,7.104796,10.657194,15.98579,5.328597,1.776199,0.0,3.552398,8.880995,1.776199,1.776199,7.104796,3.552398,1.776199,0.0,3.552398,0.0,5.328597,0.0,5.328597,0.0,7.104796,7.104796,1.776199,17.922337,18.586127,13.275805,5.974112,8.297378,7.301693,5.310322,6.306007,5.310322,6.637902,4.978427,5.310322,5.642217,5.310322,3.650846,2.655161,4.646532,3.982741,1.991371,1.659476,2.987056,5.642217,1.991371,2.655161,2.655161,3.318951,2.323266,5.974112,3.650846,1.659476,1.32758,5.310322,1.991371,1.991371,3.982741,5.974112,3.650846,2.987056,3.318951,0.995685,3.318951,2.987056,2.323266,2.655161,1.991371,3.650846,3.982741,2.987056,1.991371,3.982741,1.991371,2.655161,3.318951,4.314637,1.32758,1.32758,1.991371,1.991371,1.991371,1.659476,1.32758,1.991371,2.323266,2.323266,1.991371,2.987056,1.659476,0.66379,2.323266,1.32758,1.991371,0.995685,2.987056,1.659476,2.655161,3.318951,2.323266,2.655161,1.991371,3.318951,3.650846,3.318951,1.991371,3.650846,1.991371,0.331895,1.991371,2.323266,2.323266,1.991371,0.66379,2.987056,2.655161,3.318951,0.66379,0.995685,1.32758,2.323266,1.659476,0.995685,1.32758,2.323266,2.987056,0.995685,2.323266,2.655161,0.0,1.991371,2.323266,0.66379,2.655161,1.32758,0.66379,2.655161,1.32758,1.32758,1.991371,1.659476,2.323266,1.32758
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_006,AUSTEN_EMMA_006,original,austen,Jane Austen,emma,Emma,train,pass,,563,45,10,12.511111,9,12.460823,0.555556,0.044444,245.115453,87.033748,5.328597,0.0,19.538188,3.552398,1.776199,51.509769,5.328597,0.0,0.461812,10.957694,0.285968,4.147425,0.079929,0.463588,5.328597,0.0,7.104796,51.509769,30.195382,28.419183,19.538188,19.538188,12.433393,14.209591,19.538188,8.880995,10.657194,5.328597,30.195382,8.880995,1.776199,21.314387,10.657194,3.552398,21.314387,14.209591,1.776199,7.104796,3.552398,23.090586,7.104796,1.776199,8.880995,3.552398,10.657194,7.104796,1.776199,0.0,5.328597,5.328597,5.328597,3.552398,0.0,3.552398,1.776199,7.104796,5.328597,3.552398,5.328597,1.776199,5.328597,0.0,5.328597,1.776199,0.0,0.0,5.328597,1.776199,0.0,5.328597,3.552398,1.776199,5.328597,1.776199,7.104796,12.918185,9.937065,7.618417,4.637297,5.962239,6.955946,3.643591,4.306062,4.637297,7.949652,3.643591,3.643591,4.637297,8.280888,2.98112,4.968533,4.968533,4.637297,3.974826,5.631004,2.318649,5.299768,1.987413,7.618417,1.324942,0.993707,2.649884,3.974826,3.643591,3.643591,2.98112,2.318649,0.331236,3.974826,1.324942,2.318649,5.299768,1.656178,1.656178,0.993707,4.968533,4.637297,1.987413,1.987413,2.649884,0.993707,2.98112,1.656178,1.987413,1.656178,2.98112,1.656178,1.987413,5.299768,2.98112,2.318649,2.98112,4.968533,2.98112,2.318649,1.324942,1.987413,1.324942,1.324942,4.968533,1.324942,1.987413,1.656178,0.331236,1.656178,0.993707,0.662471,2.318649,1.656178,0.662471,2.649884,2.649884,3.312355,0.331236,2.98112,2.649884,1.324942,1.324942,1.324942,1.987413,1.656178,2.98112,3.974826,2.649884,1.324942,0.331236,0.331236,0.993707,3.643591,1.987413,0.662471,5.299768,1.987413,2.318649,1.656178,1.987413,1.324942,2.649884,1.987413,1.987413,0.331236,0.993707,1.656178,1.656178,1.324942,1.987413,1.324942,0.993707,3.643591,1.656178,1.987413,0.662471,0.993707,0.993707,1.324942
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_007,AUSTEN_EMMA_007,original,austen,Jane Austen,emma,Emma,train,pass,,553,38,12,14.552632,9.0,14.139711,0.552632,0.078947,240.506329,75.949367,18.083183,0.0,16.274864,1.808318,12.658228,56.057866,7.233273,0.0,0.471971,11.098849,0.314647,4.233273,0.103074,0.464738,7.233273,0.0,30.74141,56.057866,18.083183,25.316456,19.891501,32.549729,28.933092,21.699819,7.233273,12.658228,18.083183,7.233273,10.84991,7.233273,16.274864,3.616637,14.466546,23.508137,7.233273,9.041591,0.0,16.274864,7.233273,10.84991,7.233273,1.808318,10.84991,0.0,3.616637,1.808318,0.0,5.424955,1.808318,7.233273,0.0,9.041591,1.808318,0.0,7.233273,10.84991,7.233273,0.0,5.424955,7.233273,1.808318,3.616637,3.616637,0.0,7.233273,0.0,7.233273,5.424955,7.233273,7.233273,5.424955,5.424955,1.808318,3.616637,1.808318,11.299435,7.643735,9.305417,5.982054,4.985045,4.985045,3.6557,6.646726,4.985045,6.31439,3.6557,6.646726,6.31439,4.985045,5.982054,4.652709,6.979063,4.985045,1.329345,2.658691,4.985045,5.982054,2.991027,4.985045,1.994018,1.661682,3.988036,6.31439,5.982054,1.994018,3.988036,1.661682,3.6557,2.326354,2.326354,4.652709,3.323363,2.658691,2.991027,1.329345,2.991027,2.326354,2.326354,0.997009,3.6557,2.326354,4.985045,2.326354,2.991027,3.323363,2.658691,2.326354,3.6557,3.323363,1.994018,2.326354,1.661682,1.994018,1.994018,3.323363,0.997009,1.994018,2.658691,1.994018,1.994018,2.326354,3.323363,2.326354,2.991027,0.664673,2.658691,1.661682,0.664673,1.994018,2.658691,1.661682,0.997009,2.991027,2.991027,2.326354,1.661682,2.991027,1.994018,2.658691,4.320372,1.329345,2.658691,1.661682,1.329345,0.664673,2.326354,3.323363,1.994018,2.326354,2.658691,1.329345,1.661682,0.664673,1.661682,1.329345,0.664673,2.658691,2.326354,2.658691,0.664673,1.994018,1.994018,0.332336,0.332336,2.326354,2.658691,2.326354,0.332336,2.326354,1.994018,1.329345,1.329345,1.994018,2.326354,0.332336
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_008,AUSTEN_EMMA_008,original,austen,Jane Austen,emma,Emma,train,pass,,574,26,10,22.076923,15.0,17.862559,0.461538,0.153846,162.020906,57.491289,17.421603,3.484321,10.452962,3.484321,0.0,20.905923,3.484321,0.0,0.466899,11.186104,0.339721,4.28223,0.121951,0.463415,3.484321,0.0,13.937282,20.905923,54.006969,47.038328,24.390244,33.101045,17.421603,13.937282,13.937282,10.452962,0.0,22.648084,3.484321,6.968641,3.484321,12.195122,8.710801,19.163763,10.452962,15.679443,5.226481,12.195122,17.421603,1.74216,6.968641,8.710801,10.452962,1.74216,10.452962,0.0,0.0,3.484321,0.0,0.0,1.74216,3.484321,10.452962,13.937282,8.710801,10.452962,6.968641,3.484321,3.484321,1.74216,0.0,1.74216,1.74216,12.195122,1.74216,1.74216,1.74216,1.74216,1.74216,5.226481,1.74216,3.484321,10.452962,1.74216,8.710801,18.643523,18.643523,15.429122,9.321761,9.964642,9.643202,5.785921,6.750241,4.500161,5.143041,4.500161,6.107361,4.178721,4.821601,2.89296,4.178721,7.071681,7.393121,0.32144,6.428801,3.214401,7.714561,4.178721,7.393121,5.143041,6.428801,2.89296,2.25008,3.857281,2.89296,3.214401,4.178721,2.57152,3.214401,2.25008,3.535841,0.64288,2.25008,3.535841,4.178721,0.32144,4.821601,3.214401,2.57152,2.89296,3.214401,1.6072,2.57152,3.535841,2.89296,2.57152,2.57152,2.25008,3.535841,1.92864,2.57152,2.57152,1.6072,3.214401,1.92864,0.96432,2.25008,2.89296,2.25008,2.89296,1.6072,1.28576,0.0,1.28576,0.96432,0.96432,3.535841,4.178721,1.92864,0.96432,2.25008,2.57152,0.64288,1.6072,2.25008,2.57152,0.96432,0.96432,0.32144,0.96432,0.96432,0.96432,0.32144,0.0,1.6072,0.96432,0.64288,2.25008,3.214401,1.28576,3.214401,2.57152,4.500161,2.25008,0.96432,1.92864,1.92864,2.89296,1.6072,4.500161,1.28576,0.96432,2.57152,0.96432,0.64288,3.214401,2.89296,0.0,0.96432,1.92864,2.57152,1.92864,0.64288,2.25008,2.25008
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_009,AUSTEN_EMMA_009,original,austen,Jane Austen,emma,Emma,train,pass,,562,36,9,15.611111,13.0,10.625644,0.361111,0.027778,206.405694,55.160142,23.131673,5.338078,3.558719,5.338078,1.779359,48.042705,8.896797,0.0,0.475089,11.262715,0.316726,4.30427,0.115658,0.47153,7.117438,0.0,16.014235,48.042705,17.793594,30.24911,33.807829,26.690391,19.572954,14.234875,10.676157,10.676157,12.455516,1.779359,17.793594,3.558719,1.779359,7.117438,14.234875,35.587189,17.793594,21.352313,0.0,14.234875,3.558719,8.896797,5.338078,3.558719,5.338078,0.0,17.793594,3.558719,1.779359,1.779359,3.558719,3.558719,10.676157,1.779359,0.0,5.338078,16.014235,5.338078,3.558719,7.117438,5.338078,3.558719,7.117438,3.558719,5.338078,8.896797,1.779359,0.0,12.455516,1.779359,0.0,7.117438,3.558719,1.779359,0.0,0.0,3.558719,11.024643,8.754864,10.700389,6.16083,7.457847,6.485084,2.26978,5.188067,7.457847,7.457847,6.16083,5.188067,8.43061,6.16083,3.242542,3.566796,2.26978,5.188067,2.594034,1.945525,3.566796,5.188067,1.621271,5.836576,0.648508,1.297017,2.594034,5.188067,3.566796,2.918288,0.972763,2.594034,1.297017,2.26978,1.945525,7.457847,3.891051,4.863813,1.945525,0.324254,2.918288,7.133593,1.945525,2.594034,2.918288,2.918288,2.918288,3.566796,1.945525,4.215305,2.26978,2.594034,2.918288,2.918288,0.648508,2.594034,0.972763,1.297017,2.918288,0.648508,1.621271,1.945525,3.242542,1.297017,2.594034,1.297017,6.485084,1.945525,2.26978,0.972763,2.594034,0.972763,2.594034,1.945525,0.324254,0.648508,3.566796,3.242542,3.242542,3.242542,2.594034,0.648508,1.945525,2.26978,2.594034,1.621271,1.945525,1.621271,1.945525,0.324254,0.972763,0.648508,2.594034,5.512322,2.918288,0.648508,1.297017,1.945525,2.918288,2.26978,1.945525,1.621271,3.891051,2.26978,1.945525,1.621271,2.26978,2.26978,0.972763,1.297017,0.972763,0.648508,0.648508,0.972763,1.297017,1.297017,3.891051,2.918288,2.26978,2.594034
groq_llama_3_3_70b_free,Groq Llama 3.3 70B,groq_llama_3_3_70b_free|original|AUSTEN_EMMA_010,AUSTEN_EMMA_010,original,austen,Jane Austen,emma,Emma,train,pass,,558,18,3,31.0,32.5,19.447936,0.166667,0.333333,184.587814,91.397849,23.297491,3.584229,21.505376,0.0,7.168459,5.376344,1.792115,0.0,0.456989,10.795011,0.311828,4.491039,0.112903,0.442652,0.0,0.0,34.050179,5.376344,28.673835,34.050179,19.713262,32.258065,17.921147,12.544803,7.168459,16.129032,0.0,39.426523,0.0,3.584229,8.960573,8.960573,0.0,0.0,10.752688,14.336918,5.376344,10.752688,23.297491,0.0,5.376344,1.792115,37.634409,14.336918,1.792115,3.584229,1.792115,3.584229,0.0,0.0,5.376344,10.752688,8.960573,3.584229,0.0,48.387097,7.168459,5.376344,0.0,3.584229,0.0,3.584229,1.792115,3.584229,5.376344,0.0,0.0,3.584229,3.584229,0.0,0.0,5.376344,7.168459,1.792115,8.960573,14.612452,10.165184,13.659466,6.670902,6.35324,6.035578,6.035578,5.717916,3.494282,4.76493,3.494282,5.400254,7.623888,5.082592,4.129606,2.858958,8.576874,4.447268,0.0,8.259212,3.17662,10.165184,3.17662,6.035578,7.623888,5.082592,2.223634,0.317662,4.129606,1.905972,4.129606,3.494282,5.400254,2.223634,2.858958,1.270648,0.317662,3.17662,4.447268,6.988564,0.317662,4.129606,2.858958,0.952986,2.223634,3.811944,2.223634,2.541296,4.129606,2.541296,2.223634,3.17662,0.952986,3.811944,0.635324,8.259212,0.952986,1.270648,2.541296,1.270648,0.317662,0.635324,1.905972,3.494282,2.223634,2.223634,1.270648,0.635324,0.635324,0.952986,1.905972,4.129606,2.541296,1.905972,1.905972,0.952986,2.858958,0.952986,1.905972,0.317662,3.494282,1.905972,1.58831,0.635324,1.58831,2.541296,2.541296,0.0,0.635324,0.952986,1.58831,1.905972,0.952986,2.541296,0.317662,4.129606,1.58831,1.905972,1.905972,1.270648,2.223634,0.952986,2.223634,0.317662,1.905972,2.223634,3.17662,0.952986,0.952986,1.58831,1.270648,4.129606,0.0,2.541296,9.52986,1.58831,0.952986,1.270648,1.905972,0.317662
