target,request_id,replication_model_id,provider_model_name,passage_id,condition,original_word_count,old_rewritten_word_count,old_length_ratio,old_qc_status,old_qc_flags,old_parse_status,old_rewritten_text_sha256,old_rewritten_text
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_001|simplify,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_001,simplify,569,481,0.845343,warning,length_soft_warning,json_ok,a2c605e1ddb229fe071a369f597eb2622f9097ac14ef9814b5a362ea5ef5b19d,"She was so caught up in admiring those soft blue eyes, in talking and listening, and in making plans in between, that the evening passed much faster than usual. Supper, which always ended these kinds of gatherings, was already set out and brought closer to the fire before she realized it. With more enthusiasm than usual—though she was never indifferent to doing things properly and with care—she took charge of the meal, helping and encouraging everyone to try the minced chicken and scalloped oysters. She did this with a warmth that she knew would be appreciated by the early-to-bed habits and polite manners of their guests.

Poor Mr. Woodhouse was always torn on these occasions. He liked to have a table set, as it was the way things were done in his youth, but he also believed that supper was unhealthy. So while he welcomed his guests to eat, he was also upset that they would. The only thing he could recommend with complete confidence was a small bowl of thin gruel like his own. Still, he might manage to say something like:

""Mrs. Bates, would you try one of these eggs? A soft-boiled egg isn't bad for you. Serle knows how to boil eggs better than anyone. I wouldn't recommend an egg boiled by anyone else, but you don't have to worry—they're small, you see. One of our little eggs won't hurt you. Miss Bates, let Emma help you with a tiny piece of tart—a very tiny piece. They're all apple tarts. You don't need to worry about bad preserves here. I wouldn't suggest the custard. Mrs. Goddard, would you like half a glass of wine? A small half-glass, mixed into a tumbler of water? I don't think it would upset you.""

Emma let her father talk, but she served her guests in a much more satisfying way. On this evening, she especially enjoyed seeing them leave happy. Miss Smith was just as happy as Emma had hoped. Miss Woodhouse was such an important person in Highbury that the idea of being introduced had made her both nervous and excited. But the modest, grateful girl left with a very happy heart, delighted by how kindly Miss Woodhouse had treated her all evening and even shook her hand at the end!


CHAPTER IV

Harriet Smith's friendship with Emma at Hartfield quickly became a regular thing. Emma was quick and decisive, and didn't waste time inviting and encouraging Harriet to visit often. As their friendship grew, so did their enjoyment of each other's company. As a walking companion, Emma had already seen how helpful Harriet could be. In that way, Mrs. Weston's absence had been a big loss. Her father never went beyond the shrubbery, where two parts of the garden were enough for his walks, whether long or short depending on the season; and since Mrs."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_002|paraphrase,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_002,paraphrase,562,547,0.97331,warning,json_repaired_loose_rewritten_text,json_repaired_loose_rewritten_text,4357fb0b04da1cf1198e22df71cd98e2fa34b68023cbf6805eb4b2227ac20832,"The list she compiled when she was just fourteen—I recall being so impressed by her discernment that I kept it for a while; and I daresay she has produced an even better one now. But I have given up on expecting Emma to follow any regular course of reading. She will never submit to anything that demands diligence and perseverance, or that requires the imagination to yield to reason. Where Miss Taylor failed to inspire, I can confidently say that Harriet Smith will achieve nothing.—You could never persuade her to read as much as you desired.—You know you could not.”

“‘I dare say,’ replied Mrs. Weston, with a smile, ‘that I thought so _then_;—but since we have parted, I can never recall Emma failing to do anything I wished.’”

“There is little point in trying to revive such a memory as _that_,” said Mr. Knightley, feelingly; and for a moment or two he was silent. “But I,” he soon added, “who have had no such enchantment over my senses, must still see, hear, and remember. Emma is spoiled by being the cleverest in her family. At ten years old, she had the misfortune of being able to answer questions that baffled her sister at seventeen. She was always quick and confident: Isabella slow and uncertain. And ever since she was twelve, Emma has ruled the household and all of you. In her mother, she lost the only person capable of managing her. She inherits her mother’s talents, and must have been under her control.”

“I should have been sorry, Mr. Knightley, to rely on _your_ recommendation, had I left Mr. Woodhouse’s family and needed another position; I do not think you would have spoken kindly of me to anyone. I am certain you always thought me unfit for the role I held.”

“Yes,” he said, smiling. “You are better suited _here_; very fit for a wife, but not at all for a governess. But you were preparing yourself to be an excellent wife all the time you were at Hartfield. You might not have given Emma the thorough education your abilities seemed to promise; but you were receiving a very good education from _her_, on the essential matrimonial matter of yielding your own will, and doing as you were told; and if Weston had asked me to recommend him a wife, I should certainly have named Miss Taylor.”

“Thank you. There will be very little merit in making a good wife to such a man as Mr. Weston.”

“Why, to be honest, I am afraid you are rather wasted, and that with every inclination to endure, there will be nothing to endure. We will not despair, however. Weston may grow cross from the indulgence of ease, or his son may plague him.”

“I hope not _that_.—It is not likely. No, Mr. Knightley, do not predict trouble from that quarter.”

“Not I, indeed. I only mention possibilities. I do not claim Emma’s genius for predicting and guessing. I hope, with all my heart, the young man may be a Weston in merit, and a Churchill in fortune.—But Harriet Smith—I have not half finished speaking of Harriet Smith. I think her the very worst sort of companion that Emma could possibly have."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_002|simplify,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_002,simplify,562,529,0.941281,warning,json_repaired_loose_rewritten_text,json_repaired_loose_rewritten_text,61de04c8439440fb48ae3bca0410216ef59d4259e3b09afa241e761ae8fd3411,"The list she made when she was only fourteen—I remember thinking it showed how smart she was, so I kept it for a while. I suppose she has made a much better list now. But I’ve given up expecting Emma to read regularly. She never likes things that take effort, patience, or where the imagination has to take a back seat to the mind. If Miss Taylor couldn’t get her to read, then Harriet Smith certainly won’t either. You could never get Emma to read half as much as you wanted. You know you couldn’t.”

  “I dare say,” replied Mrs. Weston, smiling, “that I thought so then; but since we’ve been apart, I can’t remember Emma ever not doing anything I wanted.”

  “There’s hardly any need to try to improve such a good memory,” said Mr. Knightley, feelingly. After a moment or two, he added, “But I, who haven’t been so charmed, must still see, hear, and remember. Emma is spoiled by being the smartest in her family. At ten, she had the bad luck of being able to answer questions that confused her sister at seventeen. She was always quick and confident; Isabella was slow and unsure. And ever since she was twelve, Emma has been in charge of the house and all of you. In her mother, she lost the only person who could match her. She has her mother’s talents and must have been under her control.”

  “I would have been sorry, Mr. Knightley, to depend on your recommendation if I had left Mr. Woodhouse’s family and needed another job. I don’t think you would have said a good word for me to anyone. I’m sure you always thought I wasn’t fit for the job I had.”

  “Yes,” he said, smiling. “You are better placed here; very fit to be a wife, but not at all for a governess. But you were preparing yourself to be an excellent wife all the time you were at Hartfield. You might not have given Emma the full education your talents promised, but you were getting a very good education from her, on the important topic of marriage of giving in and doing what you were told. And if Weston had asked me to recommend him a wife, I would certainly have named Miss Taylor.”

  “Thank you. There will be very little credit in being a good wife to such a man as Mr. Weston.”

  “Why, to tell the truth, I’m afraid you are a bit wasted, and that with every desire to be patient, there will be nothing to be patient with. We won’t give up hope, though. Weston might get cross from too much comfort, or his son might annoy him.”

  “I hope not. That doesn’t seem likely. No, Mr. Knightley, don’t expect trouble from that side.”

  “Not I, indeed. I only mention possibilities. I don’t pretend to Emma’s talent for predicting and guessing. I hope, with all my heart, the young man may be a Weston in merit and a Churchill in fortune. But Harriet Smith—I haven’t finished talking about Harriet Smith. I think she is the worst kind of companion Emma could possibly have."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_003|modernize,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_003,modernize,555,467,0.841441,warning,length_soft_warning,json_ok,0d64b56c5aa390347a124bc031f54eaf1bf4362c0fcb9b2fe20d86ab70f77a74,"You don't need to be reminded to sound upset about his disappointment.'""You think I should say no to him, then,"" Harriet said, looking down.""Should say no! My dear Harriet, what are you talking about? Are you unsure about that? I thought—but I'm sorry, maybe I got it wrong. I definitely misunderstood you if you're unsure about what your answer means. I assumed you were just asking me about how to phrase it.""Harriet stayed quiet. Emma, keeping a bit of distance, continued:""So you're planning to say yes, I guess.""""No, I'm not. That is, I don't mean to—What should I do? What would you suggest I do? Please, dear Miss Woodhouse, tell me what I should do.""""I won't give you any advice, Harriet. I won't get involved. This is something you need to decide for yourself.""""I had no idea he liked me that much,"" Harriet said, looking at the letter. Emma stayed quiet for a while; but as she started to worry that the flattery in that letter might be too strong, she decided to say,""I believe the rule is, Harriet, that if a woman is unsure whether to accept a man or not, she definitely should say no. If she's even a little unsure about 'yes,' she should say 'no' right away. It's not something to get into with mixed feelings or half a heart. I thought it was my duty as a friend and someone older to say that much. But don't think I'm trying to push you one way or the other.""""Oh! No, I'm sure you're too kind to—but if you could just tell me what I should do—No, no, I don't mean that—As you said, you should be certain—You shouldn't hesitate—It's a big decision.—Maybe it's safer to say 'no,' perhaps.—Do you think I should say 'no?'""""Not for the world,"" Emma said, smiling kindly, ""would I advise you either way. You're the best judge of your own happiness. If you prefer Mr. Martin to anyone else; if you think he's the most pleasant person you've ever met, why should you hesitate? You're blushing, Harriet.—Is anyone else coming to mind right now? Harriet, Harriet, don't fool yourself; don't let gratitude and pity take over. Right now, who are you thinking of?""The signs were good.—Instead of answering, Harriet turned away, embarrassed, and stood thoughtfully by the fire; and though the letter was still in her hand, she was now fiddling with it absentmindedly. Emma waited, impatient but hopeful. Finally, after some hesitation, Harriet said—""Miss Woodhouse, since you won't give me your opinion, I'll have to make my own decision; and I've now made up my mind, and really almost decided—to say no to Mr."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_003|simplify,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_003,simplify,555,470,0.846847,warning,length_soft_warning,json_ok,0d107492b6dd18b09b0cf11ec53cea06d568d9ff9091b0864f6e902ec432901a,"You don't need to pretend to be sad about his disappointment.'""You think I should say no to him, then,"" said Harriet, looking down.""Should say no! My dear Harriet, what are you thinking? Are you unsure about that? I thought—but I'm sorry, maybe I misunderstood. I definitely got the wrong idea if you're unsure about what your answer should be. I thought you were just asking me about how to word it.""Harriet said nothing. Emma continued, a bit more reserved:""I think you're planning to say yes, then.""""No, I'm not; that is, I don't plan to—What should I do? What would you suggest I do? Please, dear Miss Woodhouse, tell me what I should do.""""I won't give you any advice, Harriet. I won't get involved. This is something you have to decide for yourself.""""I had no idea he liked me so much,"" said Harriet, looking at the letter. Emma stayed quiet for a while; but as she began to worry that the letter's flattery might be too strong, she said,""I believe that if a woman is unsure whether to accept a man or not, she should definitely say no. If she can't be sure about saying yes, she should say no right away. It's not something to get into with uncertain feelings or half a heart. I thought it was my duty as a friend and someone older to say this to you. But don't think I want to influence you.""""Oh! No, I'm sure you're much too kind to—but if you could just tell me what I should do—No, no, I don't mean that—As you said, one's mind should be made up—One shouldn't hesitate—It's a very serious thing.—It might be safer to say no.—Do you think I should say no?""""Not for the world,"" said Emma, smiling kindly, ""would I advise you either way. You must be the best judge of your own happiness. If you prefer Mr. Martin to everyone else; if you think he's the most agreeable man you've ever met, why should you hesitate? You're blushing, Harriet.—Is there someone else you're thinking of right now? Harriet, Harriet, don't fool yourself; don't be swayed by gratitude and pity. Right now, who are you thinking of?""The signs were good.—Instead of answering, Harriet turned away, confused, and stood thoughtfully by the fire; and though the letter was still in her hand, it was now being twisted around without care. Emma waited for the result with impatience, but not without strong hopes. At last, with some hesitation, Harriet said—""Miss Woodhouse, as you won't give me your opinion, I must do the best I can by myself; and I have now decided, and really almost made up my mind—to refuse Mr."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_004|paraphrase,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_004,paraphrase,560,555,0.991071,warning,json_repaired_loose_rewritten_text,json_repaired_loose_rewritten_text,1360578c2b7dc591a3af249b8b70a6531b950b840173598734b17f003c8466f5,"And is she, at seventeen, just beginning life, just starting to be noticed, to be admired for not accepting the first proposal she receives? No—pray allow her time to consider her options.”

“I have always considered it a foolish attachment,” Mr. Knightley remarked after a moment, “though I have kept my thoughts to myself; but I now see it will be a regrettable one for Harriet. You will inflate her with notions of her own beauty and of what she is entitled to, until in a short time no one within her reach will seem good enough for her. Pride, when it takes hold of a weak mind, brings about all sorts of trouble. It is so easy for a young lady to expect too much. Miss Harriet Smith may not find proposals of marriage coming in so quickly, though she is a very pretty girl. Men of sense, whatever you may choose to say, do not seek foolish wives. Men of standing would not be particularly eager to link themselves with a girl of such uncertain background—and the most prudent men would be wary of the inconvenience and disgrace they might face when the mystery of her parentage is uncovered. Let her marry Robert Martin, and she is safe, respected, and happy for ever; but if you encourage her to hope for a grander match, and teach her to accept nothing less than a man of importance and considerable fortune, she may end up as a parlour-boarder at Mrs. Goddard’s for the rest of her life—or, at the very least, (for Harriet Smith is a girl who will marry someone or other,) until she becomes desperate and is glad to accept the son of the old writing-master.”

“You and I differ so greatly on this matter, Mr. Knightley, that there is no point in arguing. We shall only make each other more vexed. But as for my _allowing_ her to marry Robert Martin, it is impossible; she has refused him, and so firmly, I think, as must prevent any further attempt. She must suffer the consequences of having refused him, whatever they may be; and as for the refusal itself, I will not pretend to say that I might not have had some influence; but I assure you there was very little for me or anyone else to do. His appearance is so much against him, and his manner so poor, that if she ever were inclined to favor him, she is not now. I can imagine that before she had met anyone better, she might have tolerated him. He was the brother of her friends, and he made an effort to please her; and altogether, having seen nobody more refined (that must have been his great advantage) she might not, while she was at Abbey-Mill, have found him disagreeable. But the situation is different now. She knows what gentlemen are; and nothing but a gentleman in education and manner has any chance with Harriet.”

“Fiddlesticks, absurd fiddlesticks, as ever was said!” exclaimed Mr. Knightley.—“Robert Martin’s manner has sense, sincerity, and good humour to recommend it; and his mind has more true gentility than Harriet Smith could understand.”

Emma said nothing, and tried to appear cheerful and unconcerned, but was truly feeling uneasy and wished him very much to leave."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_004|simplify,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_004,simplify,560,492,0.878571,warning,json_repaired_loose_rewritten_text,json_repaired_loose_rewritten_text,0e4d9d97b4e3c80c502dd9475880897ef671261b14f3e901663e0064e5f04584,"And is she, at seventeen, just starting out in life, just beginning to be noticed, to be admired because she doesn’t accept the first proposal she gets? No—please let her have time to look around.”

“I’ve always thought it was a foolish friendship,” said Mr. Knightley after a while, “though I’ve kept my thoughts to myself; but now I see it will be a very unfortunate one for Harriet. You’ll fill her head with ideas about her own beauty and what she deserves, and soon no one in her circle will be good enough for her. Pride in a weak mind causes all sorts of problems. It’s easy for a young woman to expect too much. Miss Harriet Smith may not find marriage proposals coming fast, even though she is a very pretty girl. Smart men, no matter what you say, don’t want silly wives. Men from good families wouldn’t be very interested in marrying a girl with such an unclear background—and sensible men would worry about the trouble and embarrassment they might face when her parentage is discovered. If she marries Robert Martin, she is safe, respected, and happy forever; but if you encourage her to expect to marry someone important and wealthy, she might end up living with Mrs. Goddard for the rest of her life—or, at least, (for Harriet Smith is a girl who will marry someone eventually,) until she gets desperate and is glad to accept the old writing-master’s son.”

“We see this issue so differently, Mr. Knightley, that there’s no point in arguing. We’ll just make each other more upset. But as for my letting her marry Robert Martin, it’s impossible; she has refused him, and so firmly, I think, that he won’t try again. She must deal with the consequences of her refusal, whatever they may be; and as for the refusal itself, I won’t pretend I didn’t have some influence; but I assure you there wasn’t much for me or anyone else to do. His appearance is so much against him, and his manner so poor, that if she ever was interested in him, she isn’t now. I can imagine that before she met anyone better, she might have tolerated him. He was the brother of her friends, and he tried to please her; and altogether, having seen no one better (that must have been his big advantage) she might not, while she was at Abbey-Mill, have found him unpleasant. But the situation is different now. She knows what gentlemen are like; and only a gentleman in education and manner has any chance with Harriet.”

“Nonsense, foolish nonsense, as ever was talked!” cried Mr. Knightley.—“Robert Martin’s manners have sense, sincerity, and good humor to recommend them; and his mind has more true gentility than Harriet Smith could understand.”

Emma said nothing, and tried to look cheerful and unbothered, but was really feeling uncomfortable and wanted him to leave very much."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_005|paraphrase,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_005,paraphrase,563,568,1.008881,warning,json_repaired_loose_rewritten_text,json_repaired_loose_rewritten_text,c6af64513f097ec081047bca664811df21f7f7d2cff205022981b1d8b4a8def7,"And he is truly a bright young man. All of them are exceptionally clever, and they have such charming ways. They often come to stand beside my chair and say, ‘Grandpapa, would you give me a piece of string?’ Once, Henry asked me for a knife, but I told him that knives were only for grandpapas. I believe their father is too harsh with them at times.\n\n“You find him rough,” Emma remarked, “because you yourself are so gentle; but if you could compare him with other fathers, you would not consider him harsh. He wants his boys to be active and strong; and if they misbehave, he can give them a firm word now and then; but he is a loving father—certainly Mr. John Knightley is a loving father. The children all like him.\n\n“And then their uncle lifts them up to the ceiling in a most alarming manner!”\n\n“But they enjoy it, papa; there is nothing they enjoy more. It is such a delight for them that if their uncle had not set the rule of taking turns, whoever started first would never give way to the other.\n\n“Well, I cannot make sense of it.\n\n“That is the situation with us all, papa. One half of the world cannot grasp the joys of the other.\n\nLater in the morning, just as the girls were about to part in preparation for the customary four o’clock dinner, the hero of this unparalleled charade entered once more. Harriet turned away; but Emma could greet him with her usual smile, and her quick eye soon noticed in his expression the awareness of having taken a chance—of having cast a die; and she thought he had come to see how it might land. His stated reason, however, was to ask whether Mr. Woodhouse’s party could be arranged in the evening without him, or whether he would be in the least essential at Hartfield. If he was, everything else would have to yield; but otherwise, his friend Cole had been so insistent about his dining with him—had made such a point of it, that he had promised him conditionally to come.\n\nEmma thanked him, but would not let him disappoint his friend on their account; her father was certain of his rubber. He pressed the matter again—she refused again; and he seemed then about to take his leave, when taking the paper from the table, she handed it back—\n\n“Oh! here is the charade you were so kind as to leave with us; thank you for letting us see it. We admired it so much, that I have dared to include it in Miss Smith’s collection. I trust your friend will not mind. Of course, I have not copied beyond the first eight lines.”\n\nMr. Elton certainly did not know quite what to say. He looked rather uncertain—rather embarrassed; said something about “honour,”—glanced at Emma and at Harriet, and then, seeing the book open on the table, picked it up and examined it very carefully. To ease an awkward moment, Emma smiled and said,\n\n“You must convey my apologies to your friend; but such a fine charade must not be limited to one or two. He may be assured of every woman’s approval while he writes with such gallantry.”"
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_005|modernize,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_005,modernize,563,533,0.946714,warning,json_repaired_loose_rewritten_text,json_repaired_loose_rewritten_text,7a8a7677eb58f7daeca65d50e7ad77d40897c07362dc70f6ed1414f8f5ac0dfa,"And he's a really smart kid. They're all incredibly clever, and they have such cute ways. They come and stand by my chair and say, 'Grandpa, can you give me a bit of string?' Once, Henry asked me for a knife, but I told him knives are only for grandpas. I think their dad is too rough with them a lot of the time.""

""He seems rough to you,"" Emma said, ""because you're so gentle yourself. But if you compared him with other dads, you wouldn't think he's rough. He wants his boys to be active and tough, and if they misbehave, he can give them a sharp word now and then. But he's a loving father—definitely Mr. John Knightley is a loving father. The kids all like him.""

""And then their uncle picks them up and tosses them up to the ceiling in a really scary way!""

""But they love it, Dad. There's nothing they like more. It's such fun for them that if their uncle didn't insist on taking turns, whoever started would never let go.""

""Well, I just can't get it.""

""That's the case with all of us, Dad. One half of the world can't understand the pleasures of the other.""

Later that morning, just as the girls were about to split up before the regular four o'clock dinner, the hero of this unforgettable charade walked in again. Harriet turned away, but Emma could greet him with her usual smile, and her sharp eye quickly noticed that he was aware he had taken a gamble—like rolling the dice—and she thought he was there to see how it would turn out. His stated reason, however, was to ask whether Mr. Woodhouse's group could manage without him in the evening or whether he would be needed at Hartfield. If he was, everything else would have to take a back seat; but if not, his friend Cole had been pushing so much for him to have dinner with him—had made such a big deal about it—that he had promised him conditionally to come.

Emma thanked him, but wouldn't let him disappoint his friend for their sake; her father was definitely getting his usual card game. He pushed again—she refused again; and he seemed about to say goodbye, when she handed him the paper from the table.

""Oh! Here's the charade you were so kind as to leave with us. Thank you for letting us see it. We really liked it, so I've gone ahead and added it to Miss Smith's collection. I hope your friend won't mind. Of course, I didn't copy more than the first eight lines.""

Mr. Elton clearly didn't know what to say. He looked a bit uncertain—embarrassed; said something about 'honour'—glanced at Emma and at Harriet, and then, seeing the book open on the table, picked it up and examined it very carefully. To ease the awkward moment, Emma smiled and said,

""You'll have to apologize for me to your friend; but such a great charade shouldn't be limited to just one or two people. He can be sure of every woman's approval as long as he writes with such flair."
qwen,groq_qwen_32b_free|run_1|AUSTEN_EMMA_005|simplify,groq_qwen_32b_free,qwen/qwen3-32b,AUSTEN_EMMA_005,simplify,563,574,1.019538,warning,json_repaired_loose_rewritten_text,json_repaired_loose_rewritten_text,c83b3b9c92204a00aff76faa37f88c079ab9770b930c2166f38c369c493b1f65,"And he is a very smart boy, indeed. They are all very clever; and they have so many nice ways. They come and stand by my chair and say, ‘Grandpapa, can you give me a bit of string?’ and once Henry asked me for a knife, but I told him knives were only for grandpapas. I think their father is too rough with them too often.\n\n“He appears rough to you,” said Emma, “because you are so gentle yourself; but if you could compare him with other fathers, you would not think him rough. He wants his boys to be active and strong; and if they misbehave, he can give them a sharp word now and then; but he is a loving father—certainly Mr. John Knightley is a loving father. The children all like him.\n\n“And then their uncle comes in and tosses them up to the ceiling in a very frightening way!\n\n“But they like it, papa; there is nothing they like more. It is such fun for them that if their uncle didn’t say they had to take turns, whoever started would never let the other have a go.\n\n“Well, I cannot understand it.\n\n“That is the case with us all, papa. One half of the world cannot understand the pleasures of the other.\n\nLater in the morning, and just as the girls were about to go their separate ways before the regular four o’clock dinner, the hero of this unforgettable charade walked in again. Harriet turned away; but Emma could greet him with her usual smile, and her quick eye soon noticed in his face the knowledge that he had taken a chance—that he had rolled the dice; and she thought he had come to see what would happen. His stated reason, however, was to ask whether Mr. Woodhouse’s party could be made up in the evening without him, or whether he would be needed at Hartfield in any way. If he was, everything else would have to give way; but if not, his friend Cole had been talking so much about his dining with him—had insisted so much on it, that he had promised him conditionally to come.\n\nEmma thanked him, but would not let him disappoint his friend for their sake; her father was sure to have his game. He tried again—she refused again; and he seemed about to bow, when taking the paper from the table, she handed it back—\n\n“Oh! here is the charade you were so kind as to leave with us; thank you for letting us see it. We liked it so much, that I have taken the liberty of writing it into Miss Smith’s collection. Your friend will not mind, I hope. Of course I have not copied more than the first eight lines.”\n\nMr. Elton certainly did not know what to say. He looked a bit uncertain—rather confused; said something about ‘honour’—looked at Emma and at Harriet, and then seeing the book open on the table, picked it up and examined it very carefully. To get past an awkward moment, Emma smiled and said,\n\n“You must make my apologies to your friend; but such a good charade must not be kept to just one or two. He can be sure of every woman’s approval while he writes with such charm.”"
