audit_id,condition,added_facts_0_1,omitted_facts_0_1,narrative_order_change_0_1,speaker_or_character_relation_change_0_1,tone_drift_0_2,meaning_preservation_1_5,overall_usable_yes_no,any_semantic_issue_flag,semantic_issue_level
E4_001,paraphrase,1,1,0,0,1,3,no,1,high
E4_002,paraphrase,0,0,0,0,1,4,yes,0,low
E4_003,paraphrase,0,0,0,0,1,4,yes,0,low
E4_004,simplify,0,0,0,0,1,5,yes,0,low
E4_005,simplify,0,0,0,0,1,5,yes,0,low
E4_006,simplify,1,0,0,0,1,4,yes,1,medium
E4_007,simplify,0,0,0,0,1,5,yes,0,low
E4_008,modernize,0,0,0,0,1,5,yes,0,low
E4_009,paraphrase,1,1,0,0,1,4,yes,1,medium
E4_010,paraphrase,0,0,0,0,0,5,yes,0,low
E4_011,simplify,0,0,0,0,1,5,yes,0,low
E4_012,modernize,0,0,0,0,1,5,yes,0,low
E4_013,modernize,0,0,0,0,1,5,yes,0,low
E4_014,modernize,0,0,0,0,1,5,yes,0,low
E4_015,paraphrase,0,0,0,0,2,4,yes,1,medium
E4_016,simplify,0,0,0,0,1,5,yes,0,low
E4_017,simplify,0,0,0,0,1,5,yes,0,low
E4_018,modernize,0,0,0,0,1,5,yes,0,low
E4_019,simplify,0,0,0,0,1,5,yes,0,low
E4_020,modernize,0,0,0,0,1,5,yes,0,low
E4_021,paraphrase,0,0,0,0,0,5,yes,0,low
E4_022,paraphrase,0,0,0,0,0,5,yes,0,low
E4_023,modernize,0,0,0,0,1,4,yes,0,low
E4_024,modernize,0,0,0,0,1,5,yes,0,low
E4_025,paraphrase,0,0,0,0,1,4,yes,0,low
E4_026,paraphrase,0,0,0,0,0,5,yes,0,low
E4_027,simplify,0,0,0,0,1,5,yes,0,low
E4_028,simplify,1,0,0,0,1,4,yes,1,medium
E4_029,simplify,0,0,0,0,1,5,yes,0,low
E4_030,paraphrase,0,0,0,0,0,5,yes,0,low
E4_031,simplify,0,0,0,0,1,4,yes,0,low
E4_032,modernize,0,0,0,0,1,5,yes,0,low
E4_033,modernize,0,0,0,0,1,4,yes,0,low
E4_034,simplify,0,0,0,0,1,4,yes,0,low
E4_035,simplify,0,0,0,0,1,5,yes,0,low
E4_036,paraphrase,0,0,0,0,1,4,yes,0,low
E4_037,modernize,0,0,0,0,1,5,yes,0,low
E4_038,paraphrase,0,0,0,0,0,5,yes,0,low
E4_039,paraphrase,0,0,0,0,0,5,yes,0,low
E4_040,modernize,1,0,0,0,1,4,yes,1,medium
E4_041,simplify,0,0,0,0,1,5,yes,0,low
E4_042,paraphrase,0,0,0,0,1,4,yes,0,low
E4_043,modernize,0,0,0,0,1,5,yes,0,low
E4_044,simplify,0,0,0,0,1,5,yes,0,low
E4_045,modernize,0,0,0,0,1,5,yes,0,low
E4_046,modernize,0,0,0,0,1,5,yes,0,low
E4_047,paraphrase,0,0,0,0,1,4,yes,0,low
E4_048,simplify,0,0,0,0,1,4,yes,0,low
E4_049,paraphrase,0,0,0,0,0,5,yes,0,low
E4_050,simplify,0,1,0,0,1,4,yes,1,medium
E4_051,modernize,0,0,0,0,1,4,yes,0,low
E4_052,simplify,0,0,0,0,1,5,yes,0,low
E4_053,paraphrase,0,0,0,0,1,4,yes,0,low
E4_054,paraphrase,0,0,0,0,1,4,yes,0,low
E4_055,paraphrase,0,0,0,0,0,5,yes,0,low
E4_056,modernize,0,0,0,0,1,4,yes,0,low
E4_057,simplify,0,0,0,0,1,5,yes,0,low
E4_058,simplify,0,0,0,0,1,5,yes,0,low
