audit_id,condition,original_word_count,rewritten_word_count,word_count_ratio,content_token_jaccard,missing_original_capitalized_terms,added_new_capitalized_terms,missing_numbers,added_numbers,quote_punctuation_delta,negation_set_changed,automated_flags,automated_risk_level,important_note
E4_001,paraphrase,563,479,0.850799,0.138817,And;But;Have;Heavy;Let;Preparations;Soon;Such,Alas;Arrangements;Had;Lake;Merciful;Once;Set;Shortly;Still;These;While;Yet,,,5,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_002,paraphrase,570,514,0.901754,0.211886,Days;How;Now;Some;Then;There;What,Generally;Naturally;Occasionally;Only;Regardless;Summer;When;Yet;Your,,,4,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_003,paraphrase,583,524,0.898799,0.238208,Although;Each;Farther;Heaven;Here;Suddenly;That;These;Yonder,After;All;Aside;Eventually;Falls;Further;Instead;Its;Over;Simultaneously;There;Those;Within,,,1,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_004,simplify,571,558,0.977233,0.825243,Good;Makes,Goodbye,,,2,1,negation_set_changed,medium,automated screen only; not human annotation
E4_005,simplify,561,506,0.901961,0.55036,Arose;Beheld;Cold;During;Fancied;Was;Weather;Went,Circle;Eventually;North;Throughout,,00;4;40;6;8,2,0,number_change;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_006,simplify,572,535,0.935315,0.507634,Thus;Why,That,,,1,1,negation_set_changed,medium,automated screen only; not human annotation
E4_007,simplify,587,550,0.936968,0.441558,And,Finally;Now,,,4,1,large_quote_punctuation_change;negation_set_changed,medium,automated screen only; not human annotation
E4_008,modernize,564,559,0.991135,0.631757,Indeed;Punch,Truly,,,2,0,,low,automated screen only; not human annotation
E4_009,paraphrase,561,542,0.966132,0.128713,Evil;Hypocritical;Once;The;Urged;Wretch,Driven;Even;Finishing;From;Initially;Monster;Though,,,3,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_010,paraphrase,558,512,0.917563,0.240113,Dinner;Induced;Not;Rather;Similarly;Years,Ignoring;Many;Prompted,,,2,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_011,simplify,592,554,0.935811,0.709559,Affable;But;Finally,After;Doctor;Faustus;However;When;While,9,,7,1,number_change;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_012,modernize,582,592,1.017182,0.56213,Chamounix;Her;Nor;Plague;She;Sphynx;Still,Chamonix;Its;Oedipus;Recurring;Sphinx,,,1,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_013,modernize,601,566,0.941764,0.438247,Consequence;Pursuing;Remember;Steam;Tho;Whatsume,Consequently;Continuing;Quite;Then,,,9,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_014,modernize,565,528,0.934513,0.412141,During;Several,Any;Everyone;Seeing;Since;Throughout,,,2,0,many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_015,paraphrase,597,567,0.949749,0.259259,Dern;Presently;Say;When,Besides;Isn;Once;React;Shortly;This;Usually,,,34,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_016,simplify,560,445,0.794643,0.339233,But;Engaged;Even;His;Prefecture;Strange;This,Additionally;Everyone;However;Once;Strangely,,13,2,1,low_content_overlap;number_change;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_017,simplify,564,548,0.971631,0.708134,High;Then,,,,1,0,,low,automated screen only; not human annotation
E4_018,modernize,576,561,0.973958,0.83913,Good,Goodbye,,,4,1,large_quote_punctuation_change;negation_set_changed,medium,automated screen only; not human annotation
E4_019,simplify,555,498,0.897297,0.331395,That;Their;What;With,During,,,1,1,low_content_overlap;many_original_capitalized_terms_missing;negation_set_changed,high,automated screen only; not human annotation
E4_020,modernize,559,553,0.989267,0.625,All;Did;Hark;Hereafter;How;Nature;See;Very,Have;Listen;Look,,,1,0,many_original_capitalized_terms_missing;many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_021,paraphrase,559,525,0.939177,0.222222,All;But;Here;Inside;Lying;Yes,Finally;Indeed;Periodically;Reclining;Steam;That;Very;Within,,,0,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_022,paraphrase,561,516,0.919786,0.196676,Could;Now;Putting;These,Furthermore;One;Quickly;Tell;The;This;Those;Was;Yet,,,2,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_023,modernize,564,515,0.913121,0.448171,God;This,Eventually,,,6,1,large_quote_punctuation_change;negation_set_changed,medium,automated screen only; not human annotation
E4_024,modernize,564,550,0.975177,0.739837,,Did;History;War,,,2,0,many_new_capitalized_terms_added,medium,automated screen only; not human annotation
